index,code,unit,statisticalUnit,description
576,KS603EW0001,Count,Person,All categories: Economic activity
577,KS603EW0002,Count,Person,Economically active: Employee: Part-time
578,KS603EW0003,Count,Person,Economically active: Employee: Full-time
579,KS603EW0004,Count,Person,Economically active: Self-employed
580,KS603EW0005,Count,Person,Economically active: Unemployed
581,KS603EW0006,Count,Person,Economically active: Full-time student
582,KS603EW0007,Count,Person,Economically inactive: Retired
583,KS603EW0008,Count,Person,Economically inactive: Student (including full-time students)
584,KS603EW0009,Count,Person,Economically inactive: Looking after home or family
585,KS603EW0010,Count,Person,Economically inactive: Long-term sick or disabled
586,KS603EW0011,Count,Person,Economically inactive: Other
587,KS603EW0012,Count,Person,Unemployed: Age 16 to 24
588,KS603EW0013,Count,Person,Unemployed: Age 50 to 74
589,KS603EW0014,Count,Person,Unemployed: Never worked
590,KS603EW0015,Count,Person,Long-term unemployed
591,KS603EW0016,Percentage,Person,Economically active: Employee: Part-time
592,KS603EW0017,Percentage,Person,Economically active: Employee: Full-time
593,KS603EW0018,Percentage,Person,Economically active: Self-employed
594,KS603EW0019,Percentage,Person,Economically active: Unemployed
595,KS603EW0020,Percentage,Person,Economically active: Full-time student
596,KS603EW0021,Percentage,Person,Economically inactive: Retired
597,KS603EW0022,Percentage,Person,Economically inactive: Student (including full-time students)
598,KS603EW0023,Percentage,Person,Economically inactive: Looking after home or family
599,KS603EW0024,Percentage,Person,Economically inactive: Long-term sick or disabled
600,QS103EW0053,Count,Person,Age 51
601,KS603EW0025,Percentage,Person,Economically inactive: Other
602,KS603EW0026,Percentage,Person,Unemployed: Age 16 to 24
603,KS603EW0027,Percentage,Person,Unemployed: Age 50 to 74
604,KS603EW0028,Percentage,Person,Unemployed: Never worked
605,KS603EW0029,Percentage,Person,Long-term unemployed
606,KS604EW0001,Count,Person,All categories: Hours worked by sex
607,KS604EW0002,Count,Person,Part-time: 15 hours or less worked
608,KS604EW0003,Count,Person,Part-time: 16 to 30 hours worked
609,KS604EW0004,Count,Person,Full-time: 31 to 48 hours worked
610,KS604EW0005,Count,Person,Full-time: 49 or more hours worked
611,KS604EW0006,Count,Person,Males: Total
612,KS604EW0007,Count,Person,Males: Part-time: 15 hours or less worked
613,KS604EW0008,Count,Person,Males: Part-time: 16 to 30 hours worked
614,KS604EW0009,Count,Person,Males: Full-time: 31 to 48 hours worked
615,KS604EW0010,Count,Person,Males: Full-time: 49 or more hours worked
616,KS604EW0011,Count,Person,Females: Total
617,KS604EW0012,Count,Person,Females: Part-time: 15 hours or less worked
618,KS604EW0013,Count,Person,Females: Part-time: 16 to 30 hours worked
619,KS604EW0014,Count,Person,Females: Full-time: 31 to 48 hours worked
620,KS604EW0015,Count,Person,Females: Full-time: 49 or more hours worked
621,KS604EW0016,Percentage,Person,Part-time: 15 hours or less worked
622,KS604EW0017,Percentage,Person,Part-time: 16 to 30 hours worked
623,KS604EW0018,Percentage,Person,Full-time: 31 to 48 hours worked
624,KS604EW0019,Percentage,Person,Full-time: 49 or more hours worked
625,KS604EW0020,Percentage,Person,Males: Total
626,KS604EW0021,Percentage,Person,Males: Part-time: 15 hours or less worked
627,KS604EW0022,Percentage,Person,Males: Part-time: 16 to 30 hours worked
628,KS604EW0023,Percentage,Person,Males: Full-time: 31 to 48 hours worked
629,KS604EW0024,Percentage,Person,Males: Full-time: 49 or more hours worked
630,KS604EW0025,Percentage,Person,Females: Total
631,KS604EW0026,Percentage,Person,Females: Part-time: 15 hours or less worked
632,KS604EW0027,Percentage,Person,Females: Part-time: 16 to 30 hours worked
964,QS103EW0064,Count,Person,Age 62
633,KS604EW0028,Percentage,Person,Females: Full-time: 31 to 48 hours worked
634,KS604EW0029,Percentage,Person,Females: Full-time: 49 or more hours worked
635,KS605EW0001,Count,Person,All categories: Industry
636,KS605EW0002,Count,Person,"A Agriculture, forestry and fishing"
637,KS605EW0003,Count,Person,B Mining and quarrying
638,KS605EW0004,Count,Person,C Manufacturing
639,KS605EW0005,Count,Person,"D Electricity, gas, steam and air conditioning supply "
640,KS605EW0006,Count,Person,"E Water supply; sewerage, waste management and remediation activities"
641,KS605EW0007,Count,Person,F Construction
642,KS605EW0008,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
643,KS605EW0009,Count,Person,H Transport and storage
644,KS605EW0010,Count,Person,I Accommodation and food service activities
645,KS605EW0011,Count,Person,J Information and communication
646,KS605EW0012,Count,Person,K Financial and insurance activities
647,KS605EW0013,Count,Person,L Real estate activities
648,KS605EW0014,Count,Person,"M Professional, scientific and technical activities"
649,KS605EW0015,Count,Person,N Administrative and support service activities
650,KS605EW0016,Count,Person,O Public administration and defence; compulsory social security
651,KS605EW0017,Count,Person,P Education
652,KS605EW0018,Count,Person,Q Human health and social work activities
653,KS605EW0019,Count,Person,"R, S, T, U Other"
654,KS605EW0020,Percentage,Person,"A Agriculture, forestry and fishing"
655,KS605EW0021,Percentage,Person,B Mining and quarrying
656,KS605EW0022,Percentage,Person,C Manufacturing
657,KS605EW0023,Percentage,Person,"D Electricity, gas, steam and air conditioning supply"
658,KS605EW0024,Percentage,Person,"E Water supply; sewerage, waste management and remediation activities"
659,KS605EW0025,Percentage,Person,F Construction
660,KS605EW0026,Percentage,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
661,KS605EW0027,Percentage,Person,H Transport and storage
662,KS605EW0028,Percentage,Person,I Accommodation and food service activities
663,KS605EW0029,Percentage,Person,J Information and communication
664,KS605EW0030,Percentage,Person,K Financial and insurance activities
665,KS605EW0031,Percentage,Person,L Real estate activities
666,KS605EW0032,Percentage,Person,"M Professional, scientific and technical activities"
667,KS605EW0033,Percentage,Person,N Administrative and support service activities
668,KS605EW0034,Percentage,Person,O Public administration and defence; compulsory social security
669,KS605EW0035,Percentage,Person,P Education
670,KS605EW0036,Percentage,Person,Q Human health and social work activities
671,KS605EW0037,Percentage,Person,"R, S, T, U Other"
672,KS606EW0001,Count,Person,All categories: Industry
673,KS606EW0002,Count,Person,"A Agriculture, forestry and fishing"
674,KS606EW0003,Count,Person,B Mining and quarrying
675,KS606EW0004,Count,Person,C Manufacturing
676,KS606EW0005,Count,Person,"D Electricity, gas, steam and air conditioning supply "
677,KS606EW0006,Count,Person,"E Water supply; sewerage, waste management and remediation activities"
678,KS606EW0007,Count,Person,F Construction
679,KS606EW0008,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
680,KS606EW0009,Count,Person,H Transport and storage
681,KS606EW0010,Count,Person,I Accommodation and food service activities
682,KS606EW0011,Count,Person,J Information and communication
683,KS606EW0012,Count,Person,K Financial and insurance activities
684,KS606EW0013,Count,Person,L Real estate activities
685,KS606EW0014,Count,Person,"M Professional, scientific and technical activities"
686,QS103EW0054,Count,Person,Age 52
687,KS606EW0015,Count,Person,N Administrative and support service activities
688,KS606EW0016,Count,Person,O Public administration and defence; compulsory social security
689,KS606EW0017,Count,Person,P Education
690,KS606EW0018,Count,Person,Q Human health and social work activities
691,KS606EW0019,Count,Person,"R, S, T, U Other"
692,KS606EW0020,Percentage,Person,"A Agriculture, forestry and fishing"
693,KS606EW0021,Percentage,Person,B Mining and quarrying
694,KS606EW0022,Percentage,Person,C Manufacturing
695,KS606EW0023,Percentage,Person,"D Electricity, gas, steam and air conditioning supply"
696,KS606EW0024,Percentage,Person,"E Water supply; sewerage, waste management and remediation activities"
697,KS606EW0025,Percentage,Person,F Construction
698,KS606EW0026,Percentage,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
699,KS606EW0027,Percentage,Person,H Transport and storage
700,KS606EW0028,Percentage,Person,I Accommodation and food service activities
701,KS606EW0029,Percentage,Person,J Information and communication
702,KS606EW0030,Percentage,Person,K Financial and insurance activities
703,KS606EW0031,Percentage,Person,L Real estate activities
704,KS606EW0032,Percentage,Person,"M Professional, scientific and technical activities"
705,KS606EW0033,Percentage,Person,N Administrative and support service activities
706,KS606EW0034,Percentage,Person,O Public administration and defence; compulsory social security
707,KS606EW0035,Percentage,Person,P Education
708,KS606EW0036,Percentage,Person,Q Human health and social work activities
709,KS606EW0037,Percentage,Person,"R, S, T, U Other"
710,KS607EW0001,Count,Person,All categories: Industry
711,KS607EW0002,Count,Person,"A Agriculture, forestry and fishing"
712,KS607EW0003,Count,Person,B Mining and quarrying
713,KS607EW0004,Count,Person,C Manufacturing
714,KS607EW0005,Count,Person,"D Electricity, gas, steam and air conditioning supply "
715,KS607EW0006,Count,Person,"E Water supply; sewerage, waste management and remediation activities"
716,KS607EW0007,Count,Person,F Construction
717,KS607EW0008,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
718,KS607EW0009,Count,Person,H Transport and storage
719,KS607EW0010,Count,Person,I Accommodation and food service activities
720,KS607EW0011,Count,Person,J Information and communication
721,KS607EW0012,Count,Person,K Financial and insurance activities
722,KS607EW0013,Count,Person,L Real estate activities
723,KS607EW0014,Count,Person,"M Professional, scientific and technical activities"
724,KS607EW0015,Count,Person,N Administrative and support service activities
725,KS607EW0016,Count,Person,O Public administration and defence; compulsory social security
726,KS607EW0017,Count,Person,P Education
727,KS607EW0018,Count,Person,Q Human health and social work activities
728,KS607EW0019,Count,Person,"R, S, T, U Other"
729,KS607EW0020,Percentage,Person,"A Agriculture, forestry and fishing"
730,KS607EW0021,Percentage,Person,B Mining and quarrying
731,KS607EW0022,Percentage,Person,C Manufacturing
732,KS607EW0023,Percentage,Person,"D Electricity, gas, steam and air conditioning supply"
733,KS607EW0024,Percentage,Person,"E Water supply; sewerage, waste management and remediation activities"
734,KS607EW0025,Percentage,Person,F Construction
735,KS607EW0026,Percentage,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
736,KS607EW0027,Percentage,Person,H Transport and storage
737,KS607EW0028,Percentage,Person,I Accommodation and food service activities
738,KS607EW0029,Percentage,Person,J Information and communication
739,KS607EW0030,Percentage,Person,K Financial and insurance activities
740,KS607EW0031,Percentage,Person,L Real estate activities
741,KS607EW0032,Percentage,Person,"M Professional, scientific and technical activities"
742,KS607EW0033,Percentage,Person,N Administrative and support service activities
743,KS607EW0034,Percentage,Person,O Public administration and defence; compulsory social security
744,KS607EW0035,Percentage,Person,P Education
745,KS607EW0036,Percentage,Person,Q Human health and social work activities
746,KS607EW0037,Percentage,Person,"R, S, T, U Other"
747,KS608EW0001,Count,Person,All categories: Occupation
748,KS608EW0002,Count,Person,"1. Managers, directors and senior officials"
749,KS608EW0003,Count,Person,2. Professional occupations
750,KS608EW0004,Count,Person,3. Associate professional and technical occupations
751,KS608EW0005,Count,Person,4. Administrative and secretarial occupations
752,KS608EW0006,Count,Person,5. Skilled trades occupations
753,KS608EW0007,Count,Person,"6. Caring, leisure and other service occupations"
754,KS608EW0008,Count,Person,7. Sales and customer service occupations
755,KS608EW0009,Count,Person,"8. Process, plant and machine operatives"
756,KS608EW0010,Count,Person,9. Elementary occupations
757,KS608EW0011,Percentage,Person,"1. Managers, directors and senior officials"
758,KS608EW0012,Percentage,Person,2. Professional occupations
759,KS608EW0013,Percentage,Person,3. Associate professional and technical occupations
760,KS608EW0014,Percentage,Person,4. Administrative and secretarial occupations
761,KS608EW0015,Percentage,Person,5. Skilled trades occupations
762,KS608EW0016,Percentage,Person,"6. Caring, leisure and other service occupations"
763,KS608EW0017,Percentage,Person,7. Sales and customer service occupations
764,KS608EW0018,Percentage,Person,"8. Process, plant and machine operatives"
765,KS608EW0019,Percentage,Person,9. Elementary occupations
766,KS609EW0001,Count,Person,All categories: Occupation
767,KS609EW0002,Count,Person,"1. Managers, directors and senior officials"
768,KS609EW0003,Count,Person,2. Professional occupations
769,KS609EW0004,Count,Person,3. Associate professional and technical occupations
770,QS103EW0055,Count,Person,Age 53
771,KS609EW0005,Count,Person,4. Administrative and secretarial occupations
772,KS609EW0006,Count,Person,5. Skilled trades occupations
773,KS609EW0007,Count,Person,"6. Caring, leisure and other service occupations"
774,KS609EW0008,Count,Person,7. Sales and customer service occupations
775,KS609EW0009,Count,Person,"8. Process, plant and machine operatives"
776,KS609EW0010,Count,Person,9. Elementary occupations
777,KS609EW0011,Percentage,Person,"1. Managers, directors and senior officials"
778,KS609EW0012,Percentage,Person,2. Professional occupations
779,KS609EW0013,Percentage,Person,3. Associate professional and technical occupations
780,KS609EW0014,Percentage,Person,4. Administrative and secretarial occupations
781,KS609EW0015,Percentage,Person,5. Skilled trades occupations
782,KS609EW0016,Percentage,Person,"6. Caring, leisure and other service occupations"
783,KS609EW0017,Percentage,Person,7. Sales and customer service occupations
784,KS609EW0018,Percentage,Person,"8. Process, plant and machine operatives"
785,KS609EW0019,Percentage,Person,9. Elementary occupations
786,KS610EW0001,Count,Person,All categories: Occupation
787,KS610EW0002,Count,Person,"1. Managers, directors and senior officials"
788,KS610EW0003,Count,Person,2. Professional occupations
789,KS610EW0004,Count,Person,3. Associate professional and technical occupations
790,KS610EW0005,Count,Person,4. Administrative and secretarial occupations
791,KS610EW0006,Count,Person,5. Skilled trades occupations
792,KS610EW0007,Count,Person,"6. Caring, leisure and other service occupations"
793,KS610EW0008,Count,Person,7. Sales and customer service occupations
794,KS610EW0009,Count,Person,"8. Process, plant and machine operatives"
795,KS610EW0010,Count,Person,9. Elementary occupations
796,KS610EW0011,Percentage,Person,"1. Managers, directors and senior officials"
797,KS610EW0012,Percentage,Person,2. Professional occupations
798,KS610EW0013,Percentage,Person,3. Associate professional and technical occupations
799,KS610EW0014,Percentage,Person,4. Administrative and secretarial occupations
800,KS610EW0015,Percentage,Person,5. Skilled trades occupations
801,KS610EW0016,Percentage,Person,"6. Caring, leisure and other service occupations"
802,KS610EW0017,Percentage,Person,7. Sales and customer service occupations
803,KS610EW0018,Percentage,Person,"8. Process, plant and machine operatives"
804,KS610EW0019,Percentage,Person,9. Elementary occupations
805,KS611EW0001,Count,Person,All categories: NS-SeC
806,KS611EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
807,KS611EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
808,KS611EW0004,Count,Person,1.2 Higher professional occupations
809,KS611EW0005,Count,Person,"2. Lower managerial, administrative and professional occupations"
810,KS611EW0006,Count,Person,3. Intermediate occupations
811,KS611EW0007,Count,Person,4. Small employers and own account workers
812,KS611EW0008,Count,Person,5. Lower supervisory and technical occupations
813,KS611EW0009,Count,Person,6. Semi-routine occupations
814,KS611EW0010,Count,Person,7. Routine occupations
815,KS611EW0011,Count,Person,8. Never worked and long-term unemployed
816,KS611EW0012,Count,Person,L14.1 Never worked
817,KS611EW0013,Count,Person,L14.2 Long-term unemployed
818,KS611EW0014,Count,Person,Not classified
819,KS611EW0015,Count,Person,L15 Full-time students
820,KS611EW0016,Count,Person,L17 Not classifiable for other reasons
821,KS611EW0017,Percentage,Person,"1. Higher managerial, administrative and professional occupations"
822,KS611EW0018,Percentage,Person,1.1 Large employers and higher managerial and administrative occupations
823,KS611EW0019,Percentage,Person,1.2 Higher professional occupations
824,KS611EW0020,Percentage,Person,"2. Lower managerial, administrative and professional occupations"
825,KS611EW0021,Percentage,Person,3. Intermediate occupations
826,KS611EW0022,Percentage,Person,4. Small employers and own account workers
827,KS611EW0023,Percentage,Person,5. Lower supervisory and technical occupations
828,KS611EW0024,Percentage,Person,6. Semi-routine occupations
829,KS611EW0025,Percentage,Person,7. Routine occupations
830,KS611EW0026,Percentage,Person,8. Never worked and long-term unemployed
831,KS611EW0027,Percentage,Person,L14.1 Never worked
832,KS611EW0028,Percentage,Person,L14.2 Long-term unemployed
833,KS611EW0029,Percentage,Person,Not classified
834,KS611EW0030,Percentage,Person,L15 Full-time students
835,KS611EW0031,Percentage,Person,L17 Not classifiable for other reasons
836,KS612EW0001,Count,Person,All categories: NS-SeC
837,KS612EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
838,KS612EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
839,KS612EW0004,Count,Person,1.2 Higher professional occupations
840,KS612EW0005,Count,Person,"2. Lower managerial, administrative and professional occupations"
841,KS612EW0006,Count,Person,3. Intermediate occupations
842,KS612EW0007,Count,Person,4. Small employers and own account workers
843,KS612EW0008,Count,Person,5. Lower supervisory and technical occupations
844,KS612EW0009,Count,Person,6. Semi-routine occupations
845,KS612EW0010,Count,Person,7. Routine occupations
846,KS612EW0011,Count,Person,8. Never worked and long-term unemployed
847,KS612EW0012,Count,Person,L14.1 Never worked
848,KS612EW0013,Count,Person,L14.2 Long-term unemployed
849,KS612EW0014,Count,Person,Not classified
850,KS612EW0015,Count,Person,L15 Full-time students
851,KS612EW0016,Count,Person,L17 Not classifiable for other reasons
852,KS612EW0017,Percentage,Person,"1. Higher managerial, administrative and professional occupations"
853,KS612EW0018,Percentage,Person,1.1 Large employers and higher managerial and administrative occupations
854,QS103EW0056,Count,Person,Age 54
855,KS612EW0019,Percentage,Person,1.2 Higher professional occupations
856,KS612EW0020,Percentage,Person,"2. Lower managerial, administrative and professional occupations"
857,KS612EW0021,Percentage,Person,3. Intermediate occupations
858,KS612EW0022,Percentage,Person,4. Small employers and own account workers
859,KS612EW0023,Percentage,Person,5. Lower supervisory and technical occupations
860,KS612EW0024,Percentage,Person,6. Semi-routine occupations
861,KS612EW0025,Percentage,Person,7. Routine occupations
862,KS612EW0026,Percentage,Person,8. Never worked and long-term unemployed
863,KS612EW0027,Percentage,Person,L14.1 Never worked
864,KS612EW0028,Percentage,Person,L14.2 Long-term unemployed
865,KS612EW0029,Percentage,Person,Not classified
866,KS612EW0030,Percentage,Person,L15 Full-time students
867,KS612EW0031,Percentage,Person,L17 Not classifiable for other reasons
868,KS613EW0001,Count,Person,All categories: NS-SeC
869,KS613EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
870,KS613EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
871,KS613EW0004,Count,Person,1.2 Higher professional occupations
872,KS613EW0005,Count,Person,"2. Lower managerial, administrative and professional occupations"
873,KS613EW0006,Count,Person,3. Intermediate occupations
874,KS613EW0007,Count,Person,4. Small employers and own account workers
875,KS613EW0008,Count,Person,5. Lower supervisory and technical occupations
876,KS613EW0009,Count,Person,6. Semi-routine occupations
877,KS613EW0010,Count,Person,7. Routine occupations
878,KS613EW0011,Count,Person,8. Never worked and long-term unemployed
879,KS613EW0012,Count,Person,L14.1 Never worked
880,KS613EW0013,Count,Person,L14.2 Long-term unemployed
881,KS613EW0014,Count,Person,Not classified
882,KS613EW0015,Count,Person,L15 Full-time students
883,KS613EW0016,Count,Person,L17 Not classifiable for other reasons
884,KS613EW0017,Percentage,Person,"1. Higher managerial, administrative and professional occupations"
885,KS613EW0018,Percentage,Person,1.1 Large employers and higher managerial and administrative occupations
886,KS613EW0019,Percentage,Person,1.2 Higher professional occupations
887,KS613EW0020,Percentage,Person,"2. Lower managerial, administrative and professional occupations"
888,KS613EW0021,Percentage,Person,3. Intermediate occupations
889,KS613EW0022,Percentage,Person,4. Small employers and own account workers
890,KS613EW0023,Percentage,Person,5. Lower supervisory and technical occupations
891,KS613EW0024,Percentage,Person,6. Semi-routine occupations
892,KS613EW0025,Percentage,Person,7. Routine occupations
893,KS613EW0026,Percentage,Person,8. Never worked and long-term unemployed
894,KS613EW0027,Percentage,Person,L14.1 Never worked
895,KS613EW0028,Percentage,Person,L14.2 Long-term unemployed
896,KS613EW0029,Percentage,Person,Not classified
897,KS613EW0030,Percentage,Person,L15 Full-time students
898,KS613EW0031,Percentage,Person,L17 Not classifiable for other reasons
899,QS101EW0001,Count,Person,All categories: Residence type
900,QS101EW0002,Count,Person,Lives in a household
901,QS101EW0003,Count,Person,Lives in a communal establishment
902,QS101EW0004,Count,Communal establishment,Communal establishments with persons sleeping rough identified
903,QS102EW0001,Count,Person,All usual residents
904,QS102EW0002,Sum,Area (Hectares),Area(Hectares)
905,QS102EW0003,Ratio,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Density (number of persons per hectare)
906,QS103EW0001,Count,Person,All categories: Age
907,QS103EW0002,Count,Person,Age under 1
908,QS103EW0003,Count,Person,Age 1
909,QS103EW0004,Count,Person,Age 2
910,QS103EW0005,Count,Person,Age 3
911,QS103EW0006,Count,Person,Age 4
912,QS103EW0007,Count,Person,Age 5
913,QS103EW0008,Count,Person,Age 6
914,QS103EW0009,Count,Person,Age 7
915,QS103EW0010,Count,Person,Age 8
916,QS103EW0011,Count,Person,Age 9
917,QS103EW0012,Count,Person,Age 10
918,QS103EW0013,Count,Person,Age 11
919,QS103EW0014,Count,Person,Age 12
920,QS103EW0015,Count,Person,Age 13
921,QS103EW0016,Count,Person,Age 14
922,QS103EW0017,Count,Person,Age 15
923,QS103EW0018,Count,Person,Age 16
924,QS103EW0019,Count,Person,Age 17
925,QS103EW0020,Count,Person,Age 18
926,QS103EW0021,Count,Person,Age 19
927,QS103EW0022,Count,Person,Age 20
928,QS103EW0023,Count,Person,Age 21
929,QS103EW0024,Count,Person,Age 22
930,QS103EW0025,Count,Person,Age 23
931,QS103EW0026,Count,Person,Age 24
932,QS103EW0027,Count,Person,Age 25
933,QS103EW0028,Count,Person,Age 26
934,QS103EW0029,Count,Person,Age 27
935,QS103EW0030,Count,Person,Age 28
936,QS103EW0031,Count,Person,Age 29
937,QS103EW0032,Count,Person,Age 30
938,QS103EW0033,Count,Person,Age 31
939,QS103EW0034,Count,Person,Age 32
940,QS103EW0035,Count,Person,Age 33
941,QS103EW0036,Count,Person,Age 34
942,QS103EW0037,Count,Person,Age 35
943,QS103EW0038,Count,Person,Age 36
944,QS103EW0039,Count,Person,Age 37
945,QS103EW0040,Count,Person,Age 38
946,QS103EW0041,Count,Person,Age 39
947,QS103EW0042,Count,Person,Age 40
948,QS103EW0043,Count,Person,Age 41
949,QS103EW0044,Count,Person,Age 42
950,QS103EW0045,Count,Person,Age 43
951,QS103EW0046,Count,Person,Age 44
952,QS103EW0047,Count,Person,Age 45
953,QS103EW0048,Count,Person,Age 46
954,QS103EW0049,Count,Person,Age 47
955,QS103EW0050,Count,Person,Age 48
956,QS103EW0051,Count,Person,Age 49
957,QS103EW0052,Count,Person,Age 50
958,QS103EW0058,Count,Person,Age 56
959,QS103EW0059,Count,Person,Age 57
960,QS103EW0060,Count,Person,Age 58
961,QS103EW0061,Count,Person,Age 59
962,QS103EW0062,Count,Person,Age 60
963,QS103EW0063,Count,Person,Age 61
967,QS103EW0067,Count,Person,Age 65
968,QS103EW0068,Count,Person,Age 66
969,QS103EW0069,Count,Person,Age 67
970,QS103EW0070,Count,Person,Age 68
971,QS103EW0071,Count,Person,Age 69
972,QS103EW0072,Count,Person,Age 70
973,QS103EW0073,Count,Person,Age 71
974,QS103EW0074,Count,Person,Age 72
975,QS103EW0075,Count,Person,Age 73
976,QS103EW0076,Count,Person,Age 74
977,QS103EW0077,Count,Person,Age 75
978,QS103EW0078,Count,Person,Age 76
979,QS103EW0079,Count,Person,Age 77
980,QS103EW0080,Count,Person,Age 78
981,QS103EW0081,Count,Person,Age 79
982,QS103EW0082,Count,Person,Age 80
983,QS103EW0083,Count,Person,Age 81
984,QS103EW0084,Count,Person,Age 82
985,QS103EW0085,Count,Person,Age 83
986,QS103EW0086,Count,Person,Age 84
987,QS103EW0087,Count,Person,Age 85
988,QS103EW0088,Count,Person,Age 86
989,QS103EW0089,Count,Person,Age 87
990,QS103EW0090,Count,Person,Age 88
991,QS103EW0091,Count,Person,Age 89
992,QS103EW0092,Count,Person,Age 90
993,QS103EW0093,Count,Person,Age 91
994,QS103EW0094,Count,Person,Age 92
995,QS103EW0095,Count,Person,Age 93
996,QS103EW0096,Count,Person,Age 94
997,QS103EW0097,Count,Person,Age 95
998,QS103EW0098,Count,Person,Age 96
999,QS103EW0099,Count,Person,Age 97
1000,QS103EW0100,Count,Person,Age 98
1001,QS103EW0101,Count,Person,Age 99
1002,QS103EW0102,Count,Person,Age 100 and over
1003,QS104EW0001,Count,Person,All categories: Sex
1004,QS104EW0002,Count,Person,Males
1005,QS104EW0003,Count,Person,Females
1006,QS105EW0001,Count,Person,All categories: Sex
1007,QS105EW0002,Count,Person,Males
1008,QS105EW0003,Count,Person,Females
1009,QS106EW0001,Count,Person,All categories: Second address
1010,QS106EW0002,Count,Person,No second address
1011,QS106EW0003,Count,Person,Second address within the UK
1012,QS106EW0004,Count,Person,Second address outside the UK
1013,QS108EW0001,Count,Person,All categories: Living arrangements
1014,QS108EW0002,Count,Person,Living in a couple: Total
1015,QS108EW0003,Count,Person,Living in a couple: Married
1016,QS108EW0004,Count,Person,Living in a couple: Cohabiting (opposite-sex)
1017,QS108EW0005,Count,Person,Living in a couple: In a registered same-sex civil partnership or cohabiting (same-sex)
1018,QS108EW0006,Count,Person,Not living in a couple: Total
1019,QS108EW0007,Count,Person,Not living in a couple: Single (never married or never registered a same-sex civil partnership)
1020,QS108EW0008,Count,Person,Not living in a couple: Married or in a registered same-sex civil partnership
1021,QS108EW0009,Count,Person,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)
1022,QS108EW0010,Count,Person,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved
1023,QS108EW0011,Count,Person,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
1024,QS110EW0001,Count,Person,All categories: Adult lifestage
1025,QS110EW0002,Count,Person,Age 16 to 24: Total
1026,QS110EW0003,Count,Person,Age 16 to 24: No dependent children in household
1027,QS110EW0004,Count,Person,Age 16 to 24: Dependent children in household
1028,QS110EW0005,Count,Person,Age 25 to 34: Total
1029,QS110EW0006,Count,Person,Age 25 to 34: No dependent children in household
1030,QS110EW0007,Count,Person,Age 25 to 34: Youngest dependent child in household aged 0 to 4
1031,QS110EW0008,Count,Person,Age 25 to 34: Youngest dependent child in household aged 5 to 10
1032,QS110EW0009,Count,Person,Age 25 to 34: Youngest dependent child in household aged 11 to 15
1033,QS110EW0010,Count,Person,Age 25 to 34: Youngest dependent child in household aged 16 to 18
1034,QS110EW0011,Count,Person,Age 35 to 54: Total
1035,QS110EW0012,Count,Person,Age 35 to 54: No dependent children in household
1036,QS110EW0013,Count,Person,Age 35 to 54: Youngest dependent child in household aged 0 to 4
1037,QS110EW0014,Count,Person,Age 35 to 54: Youngest dependent child in household aged 5 to 10
1038,QS110EW0015,Count,Person,Age 35 to 54: Youngest dependent child in household aged 11 to 15
1039,QS110EW0016,Count,Person,Age 35 to 54: Youngest dependent child in household aged 16 to 18
1040,QS110EW0017,Count,Person,Age 55 to 64: Total
1041,QS110EW0018,Count,Person,Age 55 to 64: One person household
1042,QS110EW0019,Count,Person,Age 55 to 64: Two or more person household: No dependent children
1043,QS110EW0020,Count,Person,Age 55 to 64: Dependent children in household
1044,QS110EW0021,Count,Person,Age 65 to 74: Total
1045,QS110EW0022,Count,Person,Age 65 to 74: One person household
1046,QS110EW0023,Count,Person,Age 65 to 74: Two or more person household: No dependent children
1047,QS110EW0024,Count,Person,Age 65 to 74: Dependent children in household
1048,QS110EW0025,Count,Person,Age 75 and over: Total
1049,QS110EW0026,Count,Person,Age 75 and over: One person household
1050,QS110EW0027,Count,Person,Age 75 and over: Two or more person household
1051,QS111EW0001,Count,Household,All categories: Household lifestage
1052,QS111EW0002,Count,Household,Age of HRP under 35: Total
1053,QS111EW0003,Count,Household,Age of HRP under 35: One person household
1054,QS111EW0004,Count,Household,Age of HRP under 35: Two or more person household: No dependent children
1055,QS111EW0005,Count,Household,Age of HRP under 35: Two or more person household: With dependent children
1056,QS111EW0006,Count,Household,Age of HRP 35 to 54: Total
1057,QS111EW0007,Count,Household,Age of HRP 35 to 54: One person household
1058,QS111EW0008,Count,Household,Age of HRP 35 to 54: Two or more person household: No dependent children
1059,QS111EW0009,Count,Household,Age of HRP 35 to 54: Two or more person household: With dependent children
